userid,movieid,rating
66989,ice+age+continental+drift+2012,3
262700,brave+2012,5
111919,an+unfinished+life+2005,4
318946,the+green+mile+1999,5
103648,fantasia+1940,4
108154,pumping+iron+1977,5
112091,he+ran+all+the+way+1951,4
55875,confidence+2003,4
36602,as+good+as+it+gets+1997,4
218162,simon+of+the+desert+1965,4
180194,paan+singh+tomar+2012,4
116230,the+beautiful+person+2008,3
282663,brothers+war+2009,3
157172,the+lost+world+1925,3
156291,last+ride+2009,3
135085,women+arent+funny+2014,4
87998,very+ordinary+couple+2013,3
252140,arc+2006,3
116420,big+hero+6+2014,4
120436,trance+2013,3
85718,fanny++alexander+1982,5
226715,playing+with+love+1977,4
247445,visit+to+a+small+planet+1960,4
22883,in+a+lonely+place+1950,3
223565,alice+in+wonderland+1951,4
102502,moog+2004,3
243950,5+card+stud+1968,3
146688,constantine+2005,5
35386,futurama+the+beast+with+a+billion+backs+2008,4
234885,the+masseurs+and+a+woman+1938,4
315890,the+wonderful+crook+1974,4
121696,a+very+potter+musical+2009,3
152718,the+wrong+trousers+1993,4
227417,a+fever+in+the+blood+1961,3
321052,akira+1988,3
72229,heading+south+2005,4
271555,above+the+street_+below+the+water+2009,4
41554,the+matrix+1999,4
226954,divergent+2014,3
305627,the+jungle+book+1967,5
27968,the+fog+1980,2
70081,one+flew+over+the+cuckoos+nest+1975,5
112440,la+jete+1962,5
321059,hunger+2008,3
201138,castle+in+the+sky+1986,4
232470,buy+the+ticket_+take+the+ride+2006,3
82440,reconstruction+2003,2
103134,passengers+2008,3
45488,harry+potter+and+the+order+of+the+phoenix+2007,4
72698,full+moon+in+paris+1984,4
313801,its+in+the+water+1997,4
180205,the+spitfire+grill+1996,4
99741,snow+white+and+the+seven+dwarfs+1937,3
348519,paranorman+2012,4
339030,ratatouille+2007,3
51844,dampfnudelblues+2013,4
92778,amos++andrew+1993,4
192426,airplane+1980,4
88576,directed+by+john+ford+1971,3
284158,one+night+of+love+1934,4
275409,american+heart+1992,4
75771,the+man+in+the+iron+mask+1998,4
170123,the+cave+of+the+yellow+dog+2005,4
56164,the+amazing+spider-man+2012,4
95486,the+gods+must+be+crazy+1980,4
27809,the+right+of+the+weakest+2006,3
139446,charlie+and+the+chocolate+factory+2005,3
288661,the+celluloid+closet+1996,4
176347,guardians+of+the+galaxy+2014,3
255627,zatichi+and+the+chest+of+gold+1964,3
5617,velvet+goldmine+1998,3
137691,balkan+spy+1984,4
79662,the+pixar+story+2007,3
104128,when+a+man+loves+a+woman+1994,4
61801,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
13562,the+shining+1980,5
104066,wild+bill+2011,3
103472,the+dark+knight+rises+2012,4
156235,koyaanisqatsi+1982,4
96591,two+shots+fired+2014,5
337896,firstborn+1984,4
228739,hamlet+1990,4
142558,mcq+1974,3
273981,melissa+p.+2005,4
18676,free+the+nipple+2014,3
166967,live+flesh+1997,5
193486,don+jon+2013,3
348862,stand+up+guys+2013,3
41997,bad+boys+ii+2003,4
87082,puccini+for+beginners+2006,3
127696,times+square+1980,4
48193,the+best+mans+wedding+2000,3
241505,the+shawshank+redemption+1994,4
245224,oceans+eleven+2001,5
77112,trainspotting+1996,3
248895,humanity+and+paper+balloons+1937,4
190204,the+long+riders+1980,3
281589,vibrator+2003,4
225261,girls+on+top+2001,3
208207,finding+nemo+2003,4
223145,the+art+of+the+steal+2013,4
78175,the+girl+who+played+with+fire+2009,4
1684,the+house+of+sand+2005,4
231884,seven+samurai+1954,4
217843,watch+out_+were+mad+1974,4
74550,sleepless+in+seattle+1993,3
146206,and+the+ship+sails+on+1983,4
211841,committed+2000,4
209667,five+weeks+in+a+balloon+1962,4
324879,cheeky+2000,3
227310,the+hunchback+of+notre+dame+1996,4
214688,how+the+myth+was+made+a+study+of+robert+flahertys+man+of+aran+1984,4
82600,pandoras+promise+2013,4
137186,pulp+fiction+1994,5
90961,the+killer+1989,3
320,blood+simple+1984,3
105567,the+maze+runner+2014,3
125595,saving+private+ryan+1998,4
198420,afternoon+delight+2013,3
217019,the+great+war+1959,5
25426,braveheart+1995,3
199035,the+heat+2013,3
192387,the+devil+wears+prada+2006,3
281024,nights+in+rodanthe+2008,2
350736,up+2009,4
25773,the+man+who+would+be+king+1975,4
107098,born+in+flames+1983,3
327473,close+encounters+of+the+third+kind+1977,4
169462,wnuf+halloween+special+2013,3
138232,die+hard+1988,5
326570,the+incredibles+2004,4
302617,steamboy+2004,3
258887,chimes+at+midnight+1965,5
86205,memories+of+murder+2003,4
110423,aladdin+1992,4
1399,the+godfather+1972,3
174073,the+omega+man+1971,4
202086,someones+gaze+2013,4
153954,tinker+tailor+soldier+spy+2011,4
136948,12+oclock+boys+2013,5
294340,leon+the+professional+1994,5
194807,sleeping+beauty+1959,4
350022,toy+story+3+2010,3
10990,the+pianist+2002,4
148865,my+flesh+and+blood+2003,4
160737,noise+2008,3
261419,kocken+2005,4
8227,the+inspector+general+1949,4
87653,breaker+morant+1980,4
236094,inception+2010,4
199327,safe+passage+1994,3
195561,red+psalm+1972,4
302696,my+sons+1991,4
102177,harry+potter+and+the+goblet+of+fire+2005,4
168625,gacy+2003,4
314029,blade+runner+1982,4
299261,the+brain+1988,3
279656,the+confession+1970,4
186407,leadbelly+1976,3
253707,despicable+me+2+2013,4
111012,alien+1979,3
145373,miracle+on+34th+street+1947,4
86652,12+angry+men+1997,4
332483,a+matter+of+loaf+and+death+2008,4
147444,the+conjuring+2013,4
150974,a+cinderella+story+2004,3
9956,kumail+nanjiani+beta+male+2013,3
318434,oceans+eleven+2001,3
127916,scarface+1983,5
342680,the+pianist+2002,4
8393,swing+shift+1984,3
59242,roma+1972,5
20688,the+twilight+samurai+2002,4
49875,cast+away+2000,4
136314,cracks+2009,3
297854,forbidden+planet+1956,4
6352,the+last+of+the+high+kings+1996,2
346046,the+little+mermaid+1989,3
348330,rocky+1976,4
292437,high+and+low+1963,3
177309,satan+met+a+lady+1936,4
281710,the+great+debaters+2007,3
196670,quantum+of+solace+2008,4
127615,kinky+boots+2005,4
952,cherry+tree+lane+2010,4
198813,putzel+2012,4
9786,arrapaho+1984,4
251736,constantine+2005,4
277842,taming+of+the+fire+1972,4
288575,harry+potter+and+the+chamber+of+secrets+2002,3
350208,burial+ground+1981,3
43046,kingsman+the+secret+service+2015,4
158938,cape+fear+1962,5
180027,anastasia+1997,4
179386,guardians+of+the+galaxy+2014,4
32381,a+walk+among+the+tombstones+2014,3
154664,pat+garrett++billy+the+kid+1973,4
290654,the+wrong+man+1956,3
287762,the+karlsson+brothers+2010,5
282880,akira+1988,3
305846,the+imitation+game+2014,4
284394,that+certain+summer+1972,3
149957,tattooed+life+1965,3
162150,every+day+2010,2
168764,spirited+away+2001,4
330808,ruby+red+2013,4
158297,the+lady+eve+1941,3
309986,cyborg+1989,3
169079,the+prime+of+miss+jean+brodie+1969,4
2452,aladdin+1992,4
136753,das+boot+1981,3
144544,my+neighbor+totoro+1988,4
96080,raiders+of+the+lost+ark+1981,5
275176,tokyo+twilight+1957,4
68365,ice+cold+in+alex+1958,4
174956,triumph+of+the+will+1935,4
59503,the+green+mile+1999,5
8174,the+return+of+doctor+x+1939,3
46630,blade+runner+1982,4
98495,the+asphyx+1972,3
216587,kikis+delivery+service+1989,4
171638,berserk+the+golden+age+arc+2+-+the+battle+for+doldrey+2012,3
44884,quatermass+and+the+pit+1967,5
210804,the+criminal+1960,4
217909,the+little+mermaid+1989,4
298857,leon+the+professional+1994,4
10046,lady+and+the+tramp+ii+scamps+adventure+2001,3
196124,late+spring+1949,5
221199,soccer+days+2003,4
103083,stanley++iris+1990,3
249928,the+way+he+looks+2014,4
209341,sex+up+your+life+2005,3
119755,the+kings+whore+1990,4
5468,man+on+wire+2008,3
96349,the+color+of+pomegranates+1969,4
230742,the+lord+of+the+rings+the+two+towers+2002,3
87382,toy+story+3+2010,5
321627,a+girl+cut+in+two+2007,2
33104,hearty+paws+2006,3
161962,a+matter+of+life+and+death+1946,4
239202,finding+nemo+2003,4
249754,magic+in+the+moonlight+2014,4
104045,get+shorty+1995,2
97427,a+short+film+about+killing+1989,5
12662,the+mask+1994,2
184811,downloading+nancy+2008,4
251941,a+girl+walks+home+alone+at+night+2014,4
216174,ferngully+the+last+rainforest+1992,3
75488,the+ballad+of+jack+and+rose+2005,3
333740,the+contractor+2007,4
191817,the+hobbit+an+unexpected+journey+2012,4
76262,neil+young+journeys+2012,3
255199,stephanie+daley+2006,4
86686,the+divine+move+2014,3
155497,brave+2012,3
255118,the+serpent+and+the+rainbow+1988,4
27394,they+have+escaped+2014,4
1925,interstellar+2014,5
78917,louis+c.k.+hilarious+2010,4
339562,toy+story+3+2010,3
301461,toy+story+3+2010,4
249234,the+godfather+1972,4
49348,lady+and+the+tramp+1955,4
136837,mother+joan+of+the+angels+1961,3
80812,my+neighbor+totoro+1988,4
81350,the+case+of+the+whitechapel+vampire+2002,4
62609,hellboy+ii+the+golden+army+2008,4
272006,evil+under+the+sun+1982,4
96840,bride+of+frankenstein+1935,4
344788,mr.++mrs.+smith+2005,3
193902,the+cat+returns+2002,4
27587,stalin+1992,5
188595,terminator+2+judgment+day+1991,5
23299,pandorum+2009,2
121391,tinker+tailor+soldier+spy+1979,5
341290,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,5
239093,the+dresser+1983,4
255732,into+the+mind+2013,4
38335,cold+around+the+heart+1997,3
190667,like+father_+like+son+2013,4
75495,summer+wars+2009,4
254878,olive+kitteridge+2014,5
205947,anything+goes+1956,2
276131,rings+on+her+fingers+1942,2
201633,kingdom+of+heaven+2005,2
133332,bachelor+apartment+1931,3
246065,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,4
124815,akira+1988,4
297369,the+good+earth+1937,3
160745,payback+1999,4
198557,south+central+1992,3
87352,fight+club+1999,5
213648,the+desperadoes+1943,3
312080,no+country+for+old+men+2007,4
94552,service+2008,3
1393,one+deadly+summer+1983,3
75751,halloween+is+grinch+night+1977,4
181379,the+imitation+game+2014,4
69024,shrek+2001,4
181683,the+good_+the+bad+and+the+ugly+1966,4
303006,the+lord+of+the+rings+the+return+of+the+king+2003,4
259515,a+gentlemans+game+2002,3
232894,fight+club+1999,3
250198,se7en+1995,5
77243,bloody+murder+2000,4
171844,journey+to+the+west+conquering+the+demons+2013,3
66848,seance+on+a+wet+afternoon+1964,5
105066,boskos+parlor+pranks+1934,3
4677,angel-a+2005,4
240137,blondes+at+work+1938,3
84594,the+little+mermaid+1989,5
240524,independence+day+1996,4
1575,billy+liar+1963,4
197255,whiplash+2014,4
110318,at+home+by+myself...+with+you+2009,3
251986,romance+in+manhattan+1935,3
320015,richard+pryor+live+in+concert+1979,3
180400,enemy+2013,4
102900,willy+wonka++the+chocolate+factory+1971,4
14674,pulp+fiction+1994,5
63503,gone+girl+2014,4
105862,candy+2006,4
334059,mumford+1999,3
228265,red+garters+1954,3
636,howls+moving+castle+2004,4
272446,follow+me+quietly+1949,3
344306,seven+samurai+1954,4
281356,comet+in+moominland+1992,2
243191,charlie+countryman+2013,4
228219,the+war+1994,3
169491,rent+2005,3
50742,batman+begins+2005,4
98291,the+last+exorcism+part+ii+2013,3
1265,the+beekeeper+1986,4
349453,forrest+gump+1994,3
48431,dawn+breaks_+which+is+no+small+thing+1989,3
286716,wreck-it+ralph+2012,4
36688,apache+country+1952,4
141014,ice+age+the+meltdown+2006,4
239149,murders+in+the+rue+morgue+1932,4
102220,solo+2013,3
50058,albino+alligator+1996,3
172647,prison+1949,3
209918,the+mirror+crackd+1980,4
66295,la+dolce+vita+1960,4
13288,the+dark+knight+2008,4
146857,nausica+of+the+valley+of+the+wind+1984,3
168964,gone+girl+2014,5
196565,scarface+1983,4
352532,the+night+of+the+generals+1967,4
261514,cherry+tree+lane+2010,3
21882,stonehearst+asylum+2014,4
170315,flight+of+the+navigator+1986,4
108639,truly+madly+deeply+1990,4
280832,brave+2012,4
22191,toy+story+3+2010,4
243291,shoot+the+piano+player+1960,4
88755,the+dark+knight+rises+2012,4
26448,cinema+paradiso+1988,4
145116,tokyo+olympiad+1965,3
269684,whiplash+2014,5
20415,one+flew+over+the+cuckoos+nest+1975,4
150645,dawn+of+the+planet+of+the+apes+2014,4
39534,war_+inc.+2008,3
192043,pulp+fiction+1994,4
268115,bruce+almighty+2003,4
348860,shaolin+temple+2+kids+from+shaolin+1984,4
230277,see+how+they+fall+1994,3
325872,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
283043,the+duchess+2008,2
317472,night+and+day+1946,5
344413,peter+pan+1953,3
65555,spun+2002,4
1708,man+of+steel+2013,4
275868,fort+bliss+2014,3
315886,the+shawshank+redemption+1994,4
15699,the+shawshank+redemption+1994,5
70898,the+little+thief+1999,4
9167,camp+x-ray+2014,3
156704,blue+jasmine+2013,4
60282,megamind+2010,4
216420,the+liberation+of+l.b.+jones+1970,4
338761,the+hunt+2012,4
251367,beach+red+1967,4
150057,the+red+shoes+1948,4
48745,prisoner+of+the+mountains+1996,4
70999,the+jolson+story+1946,3
195283,phineas+and+ferb+the+movie+across+the+2nd+dimension+2011,3
337177,center+stage+1991,3
77698,the+desert+fox+the+story+of+rommel+1951,4
308786,the+philadelphia+story+1940,3
352239,little+nemo+adventures+in+slumberland+1989,4
137210,the+song+of+ceylon+1934,4
199413,second+chorus+1940,5
337322,castle+in+the+sky+1986,5
190259,vivre+sa+vie+1962,3
222040,the+lord+of+the+rings+the+return+of+the+king+2003,4
116224,avatar+2009,4
83388,apollo+13+1995,5
4290,interstellar+2014,4
109123,beauty+and+the+beast+1991,4
63557,avatar+2009,4
177441,gattaca+1997,4
72247,regular+lovers+2005,4
264163,shanghai+express+1932,3
210452,out+of+the+blue+1980,4
93719,copenhagen+2014,3
112304,safety+patrol+1998,4
325715,the+hurricane+express+1932,3
210947,out+of+africa+1985,4
307995,endless+love+1981,2
69792,mr.+bones+2+back+from+the+past+2008,4
8265,alien+1979,4
111443,gertrud+1964,4
164744,robots+2005,3
248845,fight+club+1999,1
73503,the+maltese+falcon+1931,4
12075,the+gods+must+be+crazy+1980,3
152602,the+man+who+wouldnt+die+1994,4
74674,pulling+strings+2013,4
160771,secretariat+2010,5
67483,hairspray+2007,4
137857,the+saint+of+fort+washington+1993,4
94161,eichmann+2007,4
33309,the+secret+world+of+arrietty+2010,5
39885,capricious+summer+1968,4
98635,priceless+2006,4
300600,princess+mononoke+1997,4
104295,the+terminator+1984,5
84880,big+girls+dont+cry+2002,4
256753,when+a+woman+ascends+the+stairs+1960,4
74012,forever+amber+1947,3
297302,wreckers+2011,3
105612,the+shining+1980,4
100103,treasure+planet+2002,4
287819,dumbo+1941,4
335591,sorry_+wrong+number+1948,3
234640,samsara+2011,4
130770,voices+of+a+distant+star+2002,5
307131,despicable+me+2010,4
310808,beauty+is+embarrassing+2012,4
163331,shrek+2+2004,5
242932,walled+in+2009,3
224540,the+land+before+time+viii+the+big+freeze+2001,3
212656,an+american+in+paris+1951,4
305120,miracle+in+cell+no.+7+2013,4
64502,jackie+brown+1997,4
264787,aliens+1986,5
116536,the+body+2012,4
225125,the+bravados+1958,4
124608,fight+club+1999,3
87671,howls+moving+castle+2004,3
277272,the+gunfight+at+dodge+city+1959,4
208443,where+now+are+the+dreams+of+youth+1932,4
71910,robin+hood+1922,4
264361,princess+mononoke+1997,4
201813,one+flew+over+the+cuckoos+nest+1975,5
206019,backcountry+2015,4
329549,spirited+away+2001,5
272831,the+terminator+1984,4
89424,the+nine+lives+of+tomas+katz+2000,3
349826,planta+4+2003,3
334881,whisper+of+the+heart+1995,4
338319,whisper+of+the+heart+1995,4
140688,raiders+of+the+lost+ark+1981,4
339680,smileys+people+1982,3
264179,project+a+ii+1987,4
311183,the+romantic+englishwoman+1975,3
168770,constantine+2005,5
253780,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,4
76435,asier+eta+biok+2014,3
267944,pulp+fiction+1994,4
244060,last+winter+2012,4
121077,risky+business+1983,4
283268,david+and+bathsheba+1951,3
40728,nightwatching+2007,4
113435,end+of+watch+2012,4
286012,godzilla+1985+1984,2
289658,sweetie+1989,3
261707,pulp+fiction+1994,5
283562,the+aristocats+1970,3
75981,the+tenant+of+wildfell+hall+1997,3
336456,the+bandit+1996,4
310433,penguins+of+madagascar+2014,3
190668,summer+hours+2008,4
300702,toy+story+3+2010,4
26456,nixon+1995,3
339161,genevieve+1953,4
260004,red+dog+2011,4
314762,bambi+1942,4
315495,kikis+delivery+service+1989,4
318708,step+into+liquid+2003,5
219164,ghost+in+the+machine+1993,2
269671,the+devils+own+1997,4
324694,the+good_+the+bad+and+the+ugly+1966,4
169476,whos+harry+crumb+1989,4
195366,gnomeo++juliet+2011,3
139907,johnny+got+his+gun+1971,4
29981,looking+for+lenny+2011,4
39271,when+night+is+falling+1995,3
249130,gone+girl+2014,4
335422,one+flew+over+the+cuckoos+nest+1975,4
297353,the+last+hurrah+1958,4
351908,same+same+but+different+2009,4
167746,dragonheart+a+new+beginning+2000,5
297049,bolt+2008,4
287747,nothing+lasts+forever+1984,3
261159,unknown+2011,4
48372,wonder+boys+2000,4
325938,viva+2007,3
293162,interstellar+2014,4
74838,blubberella+2011,3
113157,moonfleet+1955,3
263307,duck+soup+1933,4
96058,the+40+year+old+virgin+2005,2
212621,two+hands+1999,3
40555,la+notte+1961,4
80750,nausica+of+the+valley+of+the+wind+1984,5
156048,constantine+2005,4
233143,alien+1979,5
240768,seven+psychopaths+2012,3
234797,pirates+of+the+caribbean+dead+mans+chest+2006,3
268793,showgirls+1995,3
173767,independence+day+1996,5
153199,the+way+he+looks+2014,3
320822,tarzan+1999,3
265324,redemption+for+robbing+the+dead+2011,3
92774,everyday+sunshine++the+story+of+fishbone+2011,3
29478,vera+drake+2004,4
301336,death+at+a+funeral+2007,3
53729,messages+deleted+2009,4
143285,the+howards+of+virginia+1940,3
289757,gigantic+a+tale+of+two+johns+2002,4
298539,the+300+spartans+1962,3
80954,the+boy+in+the+striped+pyjamas+2008,3
278264,birds+of+america+2008,5
296599,falling+angels+2003,4
100653,cq+2001,4
197849,angele+1934,4
348559,haunt+2014,3
63149,despicable+me+2010,3
164603,the+shawshank+redemption+1994,5
61865,sixteen+candles+1984,4
50654,the+client+1994,2
250560,star+wars+episode+iii+-+revenge+of+the+sith+2005,3
115783,the+five+obstructions+2003,4
247390,glee+the+concert+movie+2011,3
292254,the+hart+of+london+1970,5
303162,goodfellas+1990,5
77799,harry+potter+and+the+goblet+of+fire+2005,4
202022,edge+of+the+city+1957,4
170723,rowing+with+the+wind+1988,4
324457,bridesmaids+2011,3
178456,tinker+bell+and+the+lost+treasure+2009,5
208366,border+incident+1949,4
331295,the+four+seasons+1981,3
220564,how+to+steal+a+million+1966,4
229271,what+we+do+in+the+shadows+2014,5
218925,the+clique+2008,3
8055,one+hundred+and+one+dalmatians+1961,4
82233,the+web+of+death+1976,2
342064,michael+1996,3
12830,bambi+1942,4
135895,geronimo+an+american+legend+1993,4
215915,evangelion+2.0+you+can+not+advance+2009,4
132968,varg+veum+-+fallen+angels+2008,3
278037,the+shining+1980,4
224728,leon+the+professional+1994,3
112142,ice+age+2002,4
114418,harry+potter+and+the+deathly+hallows+part+1+2010,5
25852,the+maze+runner+2014,4
313357,starbuck+2011,4
80100,the+vexxer+2007,2
180274,wild+things+1998,3
351549,inglourious+basterds+2009,3
295319,batman+begins+2005,5
113197,despicable+me+2+2013,3
231204,virunga+2014,3
161023,ride+in+the+whirlwind+1966,3
252227,the+woman+in+black+2012,2
103208,wonderland+1999,5
121985,friendly+persuasion+1956,4
172796,the+gods+must+be+crazy+1980,3
275886,rough+night+in+jericho+1967,3
19044,braveheart+1995,3
25901,mutiny+on+the+bounty+1935,5
315254,captivated+the+trials+of+pamela+smart+2014,2
289451,the+incredibles+2004,4
90689,ice+age+dawn+of+the+dinosaurs+2009,4
348010,cohen+and+tate+1988,3
76736,the+philadelphia+story+1940,5
230578,urusei+yatsura+2+beautiful+dreamer+1984,3
123560,those+daring+young+men+in+their+jaunty+jalopies+1969,5
108417,test+pilot+1938,4
351912,harry+potter+and+the+prisoner+of+azkaban+2004,3
24826,chiedimi+se+sono+felice+2000,3
131250,the+princess+diaries+2+royal+engagement+2004,3
135519,how+to+train+your+dragon+2010,4
98061,fill+the+void+2012,4
137524,the+merry+widow+1925,3
8456,toy+story+1995,4
39617,ebola+syndrome+1996,4
290156,the+exorcist+1973,4
248627,charlie+chan+at+monte+carlo+1937,3
91357,the+fifth+element+1997,3
30027,akira+1988,4
289809,gladiator+2000,4
325358,game+change+2012,3
80636,976-evil+ii+1992,3
214943,shirley+valentine+1989,4
191154,tangled+2010,5
34557,madhouse+2004,4
252084,jesse+stone+no+remorse+2010,4
290586,yesterday_+today+and+tomorrow+1963,3
134700,vice+2015,2
249663,the+guard+post+2008,3
250441,frankenstein+1931,4
38437,as+luck+would+have+it+2011,4
181270,the+matrix+1999,3
23270,the+dependent+1969,3
62817,ice+age+the+meltdown+2006,2
170647,the+international+2009,3
22964,help+me_+eros+2007,3
128341,glow+the+story+of+the+gorgeous+ladies+of+wrestling+2012,4
329136,the+imitation+game+2014,4
350991,the+auntie+from+chicago+1957,2
137981,portrait+of+jennie+1948,4
222745,blade+runner+1982,5
345879,3+women+1977,3
305514,the+maltese+falcon+1941,5
