userid,age,occupation,gender
159,29,college/grad student,M
160,31,executive/managerial,M
161,26,college/grad student,M
162,25,unemployed,M
163,25,college/grad student,M
164,26,college/grad student,M
165,29,self-employed,M
166,44,executive/managerial,M
167,25,self-employed,M
168,27,scientist,M
169,41,self-employed,M
170,30,sales/marketing,M
171,29,college/grad student,M
172,32,executive/managerial,M
173,27,other or not specified,M
174,26,executive/managerial,M
175,34,self-employed,M
176,87,retired,F
177,31,college/grad student,F
178,56,executive/managerial,F
179,28,college/grad student,M
180,20,college/grad student,M
181,29,college/grad student,M
182,29,college/grad student,M
183,30,executive/managerial,M
184,32,executive/managerial,M
185,25,college/grad student,M
186,25,self-employed,M
187,27,executive/managerial,M
188,30,executive/managerial,M
189,14,scientist,M
190,33,scientist,M
191,24,tradesman/craftsman,M
192,34,college/grad student,M
193,30,executive/managerial,M
194,33,retired,M
195,29,other or not specified,M
196,27,retired,M
197,31,executive/managerial,M
198,28,executive/managerial,M
199,49,academic/educator,M
200,27,college/grad student,M
201,28,self-employed,M
202,31,executive/managerial,M
203,27,self-employed,M
204,27,scientist,M
205,32,sales/marketing,M
206,18,sales/marketing,F
207,26,college/grad student,M
208,42,writer,M
209,33,academic/educator,M
210,30,other or not specified,M
211,28,scientist,M
212,33,executive/managerial,M
213,38,scientist,F
214,26,college/grad student,M
215,30,scientist,M
216,25,college/grad student,M
217,32,college/grad student,F
218,33,other or not specified,M
219,31,scientist,F
220,31,sales/marketing,M
221,38,executive/managerial,M
222,32,college/grad student,F
223,31,self-employed,M
224,30,executive/managerial,M
225,34,executive/managerial,M
226,25,writer,M
227,33,other or not specified,M
228,34,college/grad student,F
229,30,executive/managerial,M
230,33,executive/managerial,M
231,32,executive/managerial,M
232,21,self-employed,M
233,34,college/grad student,M
234,28,executive/managerial,M
235,28,scientist,M
236,28,college/grad student,M
237,34,scientist,M
238,29,sales/marketing,M
239,18,K-12 student,F
240,31,scientist,M
241,28,K-12 student,M
242,28,executive/managerial,M
243,33,executive/managerial,M
244,28,other or not specified,M
245,33,sales/marketing,M
246,29,scientist,M
247,28,sales/marketing,M
248,31,artist,M
249,29,executive/managerial,M
250,26,executive/managerial,M
251,30,artist,M
252,27,writer,M
253,31,executive/managerial,M
254,34,scientist,M
255,29,homemaker,F
256,34,executive/managerial,M
257,26,college/grad student,M
258,34,artist,M
259,27,executive/managerial,M
260,27,other or not specified,M
261,29,executive/managerial,M
262,43,executive/managerial,M
263,34,college/grad student,M
264,32,sales/marketing,M
265,33,programmer,M
266,33,homemaker,F
267,31,sales/marketing,M
268,29,executive/managerial,M
269,27,college/grad student,M
270,26,college/grad student,M
271,29,sales/marketing,M
272,25,technician/engineer,M
273,25,college/grad student,F
274,32,college/grad student,M
275,30,scientist,M
276,65,academic/educator,F
277,25,technician/engineer,M
278,21,sales/marketing,M
279,26,homemaker,F
280,29,homemaker,F
281,30,executive/managerial,M
282,34,executive/managerial,M
283,28,sales/marketing,M
284,27,executive/managerial,M
285,25,K-12 student,M
286,31,executive/managerial,M
287,26,college/grad student,M
288,29,college/grad student,M
289,28,college/grad student,F
290,32,executive/managerial,M
291,90,executive/managerial,M
292,29,executive/managerial,M
293,31,other or not specified,M
294,25,sales/marketing,M
295,27,sales/marketing,M
296,34,executive/managerial,M
297,33,executive/managerial,M
298,34,sales/marketing,M
299,26,college/grad student,M
300,29,college/grad student,M
301,32,executive/managerial,M
302,31,executive/managerial,M
303,31,college/grad student,M
304,26,executive/managerial,M
305,83,retired,M
306,26,sales/marketing,M
307,33,college/grad student,M
308,25,executive/managerial,M
309,33,homemaker,F
310,27,college/grad student,F
311,32,sales/marketing,M
312,23,scientist,M
313,21,college/grad student,M
314,28,scientist,M
315,18,homemaker,M
316,18,scientist,M
317,31,scientist,M
318,26,sales/marketing,M
319,27,college/grad student,M
320,34,academic/educator,M
321,26,executive/managerial,M
322,26,academic/educator,F
323,50,executive/managerial,M
324,33,college/grad student,M
325,34,tradesman/craftsman,F
326,27,college/grad student,M
327,27,other or not specified,M
328,31,other or not specified,M
329,25,college/grad student,M
330,26,homemaker,M
331,25,executive/managerial,M
332,27,self-employed,M
333,25,college/grad student,M
334,25,homemaker,M
335,30,other or not specified,M
336,31,college/grad student,M
337,22,sales/marketing,M
338,47,academic/educator,F
339,27,college/grad student,M
340,34,other or not specified,M
341,33,other or not specified,M
342,34,self-employed,M
343,18,K-12 student,M
344,21,sales/marketing,M
345,26,executive/managerial,F
346,66,executive/managerial,M
347,30,clerical/admin,M
348,35,artist,F
349,25,other or not specified,M
350,65,clerical/admin,F
351,25,self-employed,M
352,27,executive/managerial,M
353,31,college/grad student,M
354,30,college/grad student,M
355,25,college/grad student,M
356,31,executive/managerial,M
357,26,executive/managerial,M
358,34,college/grad student,M
359,36,sales/marketing,M
360,29,scientist,M
361,31,college/grad student,M
362,32,executive/managerial,M
363,33,academic/educator,M
364,30,college/grad student,M
365,29,executive/managerial,M
366,25,executive/managerial,M
367,32,sales/marketing,M
368,26,technician/engineer,M
369,32,scientist,M
370,27,sales/marketing,M
371,36,retired,M
372,32,self-employed,M
373,27,college/grad student,F
374,30,other or not specified,F
375,31,sales/marketing,F
376,28,college/grad student,M
377,31,homemaker,M
378,33,self-employed,M
379,27,technician/engineer,M
380,29,programmer,M
381,28,executive/managerial,M
382,33,other or not specified,M
383,28,sales/marketing,M
384,31,self-employed,M
385,26,executive/managerial,M
386,78,self-employed,F
387,20,sales/marketing,M
388,34,sales/marketing,M
389,33,scientist,M
390,26,executive/managerial,M
391,34,college/grad student,M
392,34,other or not specified,M
393,25,college/grad student,M
394,42,sales/marketing,M
395,12,K-12 student,M
396,34,executive/managerial,M
397,44,other or not specified,M
398,30,executive/managerial,M
399,25,academic/educator,M
400,25,college/grad student,F
401,26,self-employed,M
402,32,self-employed,M
403,32,college/grad student,M
404,19,other or not specified,M
405,70,retired,M
406,29,programmer,M
407,27,other or not specified,F
408,44,academic/educator,F
409,22,K-12 student,M
410,18,college/grad student,F
411,28,self-employed,M
412,23,scientist,M
413,30,clerical/admin,M
414,25,scientist,M
415,27,sales/marketing,M
416,31,executive/managerial,F
417,34,self-employed,F
418,28,executive/managerial,M
419,18,K-12 student,M
420,29,other or not specified,M
421,21,sales/marketing,M
422,52,artist,M
423,29,college/grad student,M
424,27,sales/marketing,M
425,30,sales/marketing,M
426,34,college/grad student,F
427,20,sales/marketing,M
428,25,other or not specified,M
429,25,academic/educator,F
430,21,sales/marketing,M
431,33,scientist,M
432,28,college/grad student,M
433,34,executive/managerial,M
434,29,other or not specified,M
435,27,executive/managerial,M
436,18,K-12 student,M
437,31,college/grad student,M
438,28,other or not specified,M
439,25,scientist,M
440,27,sales/marketing,M
441,32,scientist,M
442,32,other or not specified,M
443,74,retired,M
444,27,college/grad student,M
445,18,sales/marketing,F
446,37,executive/managerial,M
447,28,college/grad student,M
448,25,clerical/admin,M
449,32,scientist,M
450,29,executive/managerial,M
451,31,scientist,M
452,36,executive/managerial,M
453,33,homemaker,M
454,32,college/grad student,M
455,29,scientist,M
456,33,executive/managerial,M
457,30,sales/marketing,M
458,28,executive/managerial,M
459,34,sales/marketing,M
460,50,academic/educator,M
461,22,customer service,M
462,26,sales/marketing,M
463,33,executive/managerial,M
464,38,executive/managerial,M
465,27,homemaker,M
466,27,K-12 student,F
467,27,other or not specified,M
468,32,college/grad student,M
469,27,sales/marketing,M
470,25,retired,F
471,22,self-employed,M
472,33,college/grad student,F
473,27,sales/marketing,M
474,18,scientist,M
475,27,sales/marketing,M
476,31,executive/managerial,F
477,36,executive/managerial,M
478,28,college/grad student,M
479,26,self-employed,F
480,31,executive/managerial,M
481,31,executive/managerial,M
482,18,K-12 student,F
483,32,college/grad student,M
484,34,other or not specified,F
485,25,sales/marketing,M
486,18,self-employed,F
487,37,executive/managerial,M
488,16,scientist,M
489,33,customer service,F
490,29,scientist,M
491,33,college/grad student,M
492,31,sales/marketing,M
493,31,other or not specified,F
494,28,academic/educator,M
495,26,college/grad student,M
496,26,homemaker,M
497,29,college/grad student,M
498,30,technician/engineer,M
499,25,executive/managerial,M
500,22,college/grad student,M
501,28,technician/engineer,M
502,28,other or not specified,M
503,25,self-employed,M
504,34,sales/marketing,M
505,33,homemaker,M
506,25,academic/educator,F
507,35,academic/educator,M
508,28,sales/marketing,M
509,30,self-employed,F
510,26,executive/managerial,M
511,21,other or not specified,M
512,26,college/grad student,M
513,62,academic/educator,F
514,26,executive/managerial,M
515,30,other or not specified,M
516,31,scientist,M
517,34,college/grad student,F
518,28,artist,F
519,27,other or not specified,M
520,21,sales/marketing,M
521,28,scientist,M
522,33,other or not specified,M
523,32,college/grad student,M
524,29,college/grad student,M
525,28,academic/educator,F
526,32,college/grad student,M
527,31,executive/managerial,M
528,29,other or not specified,M
529,32,academic/educator,F
530,31,executive/managerial,M
531,28,scientist,M
532,9,K-12 student,M
533,34,college/grad student,M
534,18,K-12 student,M
535,25,homemaker,M
536,28,sales/marketing,M
537,18,K-12 student,M
538,33,other or not specified,M
539,30,scientist,M
540,28,scientist,M
541,31,college/grad student,M
542,89,executive/managerial,M
543,27,scientist,M
544,25,other or not specified,M
545,32,executive/managerial,M
546,26,scientist,M
547,32,tradesman/craftsman,M
548,33,sales/marketing,M
549,34,self-employed,M
550,22,programmer,M
551,25,scientist,M
552,28,executive/managerial,M
553,15,sales/marketing,M
554,27,sales/marketing,M
555,25,tradesman/craftsman,M
556,29,college/grad student,M
557,30,scientist,M
558,27,executive/managerial,M
559,88,retired,F
560,29,executive/managerial,M
561,31,scientist,M
562,44,executive/managerial,F
563,33,other or not specified,M
564,21,scientist,M
565,39,lawyer,M
566,27,tradesman/craftsman,M
567,27,executive/managerial,M
568,32,college/grad student,M
569,32,college/grad student,M
570,31,self-employed,M
571,22,scientist,M
572,32,clerical/admin,M
573,31,lawyer,M
574,25,self-employed,M
575,25,self-employed,M
576,31,other or not specified,F
577,18,sales/marketing,M
578,24,college/grad student,M
579,26,scientist,M
580,33,executive/managerial,M
581,32,scientist,M
582,28,college/grad student,M
583,32,college/grad student,F
584,34,college/grad student,M
585,9,K-12 student,F
586,34,sales/marketing,M
587,38,artist,M
588,33,scientist,M
589,34,retired,M
590,25,self-employed,F
591,29,college/grad student,M
592,34,college/grad student,F
593,31,K-12 student,M
594,27,sales/marketing,M
595,33,self-employed,M
596,28,college/grad student,M
597,34,college/grad student,M
598,38,artist,M
599,31,other or not specified,M
600,38,scientist,M
601,27,homemaker,M
602,28,executive/managerial,M
603,30,scientist,F
604,18,self-employed,M
605,33,academic/educator,F
606,27,executive/managerial,M
607,31,college/grad student,M
608,26,other or not specified,M
609,28,clerical/admin,M
610,27,clerical/admin,M
611,28,executive/managerial,M
612,29,college/grad student,M
613,29,college/grad student,M
614,45,clerical/admin,M
615,25,college/grad student,M
616,49,artist,F
617,34,academic/educator,M
618,27,college/grad student,M
619,26,homemaker,F
620,26,other or not specified,F
621,30,other or not specified,M
622,28,academic/educator,M
623,30,executive/managerial,M
624,27,college/grad student,M
625,52,academic/educator,M
626,25,other or not specified,M
627,33,college/grad student,M
628,29,customer service,M
629,34,other or not specified,M
630,33,scientist,M
631,27,sales/marketing,M
632,31,sales/marketing,F
633,33,self-employed,M
634,30,sales/marketing,M
635,34,artist,M
636,28,scientist,M
637,33,sales/marketing,M
638,29,other or not specified,M
639,33,executive/managerial,M
640,31,college/grad student,M
641,26,college/grad student,M
642,30,executive/managerial,M
643,26,sales/marketing,M
644,32,other or not specified,F
645,32,college/grad student,M
646,27,sales/marketing,F
647,27,other or not specified,F
648,28,clerical/admin,M
649,32,self-employed,M
650,33,sales/marketing,M
651,28,college/grad student,M
652,30,self-employed,M
653,62,executive/managerial,M
654,18,K-12 student,M
655,33,executive/managerial,M
656,29,college/grad student,M
657,34,executive/managerial,M
658,34,scientist,M
659,30,scientist,M
660,33,executive/managerial,M
661,25,scientist,M
662,19,sales/marketing,M
663,28,sales/marketing,M
664,21,sales/marketing,M
665,30,artist,M
666,32,other or not specified,M
667,28,self-employed,F
668,28,college/grad student,M
669,73,retired,F
670,21,scientist,M
671,74,retired,F
672,34,sales/marketing,M
673,30,scientist,F
674,31,college/grad student,F
675,33,self-employed,M
676,29,retired,M
677,28,executive/managerial,M
678,31,sales/marketing,M
679,23,other or not specified,F
680,52,technician/engineer,M
681,30,college/grad student,M
682,29,executive/managerial,M
683,34,executive/managerial,M
684,32,college/grad student,M
685,26,scientist,M
686,30,executive/managerial,M
687,34,college/grad student,M
688,25,homemaker,M
689,26,sales/marketing,M
690,31,college/grad student,M
691,61,other or not specified,M
692,18,K-12 student,M
693,33,other or not specified,M
694,21,homemaker,F
695,28,college/grad student,M
696,71,academic/educator,M
697,27,college/grad student,M
698,25,other or not specified,M
699,33,self-employed,M
700,24,college/grad student,M
701,32,retired,M
702,24,clerical/admin,M
703,30,executive/managerial,M
704,25,executive/managerial,M
705,34,executive/managerial,M
706,28,scientist,M
707,34,retired,F
708,25,academic/educator,M
709,28,sales/marketing,M
710,43,sales/marketing,M
711,22,sales/marketing,M
712,28,executive/managerial,M
713,28,scientist,M
714,45,academic/educator,F
715,34,college/grad student,M
716,30,college/grad student,M
717,26,clerical/admin,F
718,27,tradesman/craftsman,M
719,33,academic/educator,M
720,67,executive/managerial,M
721,33,self-employed,M
722,31,executive/managerial,M
723,28,clerical/admin,F
724,29,sales/marketing,M
725,29,college/grad student,M
726,32,other or not specified,M
727,25,K-12 student,M
728,28,college/grad student,M
729,21,sales/marketing,M
730,29,executive/managerial,M
731,25,executive/managerial,M
732,84,self-employed,F
733,21,K-12 student,M
734,31,college/grad student,M
735,33,sales/marketing,M
736,26,executive/managerial,M
737,12,college/grad student,M
738,29,self-employed,M
739,28,sales/marketing,M
740,26,scientist,M
741,52,sales/marketing,M
742,21,scientist,M
743,30,other or not specified,F
744,34,sales/marketing,M
745,25,executive/managerial,M
746,34,college/grad student,M
747,27,college/grad student,M
748,11,K-12 student,M
749,31,executive/managerial,M
750,32,college/grad student,M
751,64,executive/managerial,M
752,24,executive/managerial,M
753,26,college/grad student,M
754,25,self-employed,M
755,31,college/grad student,M
756,33,self-employed,M
757,29,college/grad student,M
758,19,executive/managerial,M
759,33,other or not specified,M
760,26,executive/managerial,M
761,29,sales/marketing,M
762,30,executive/managerial,M
763,29,scientist,M
764,32,executive/managerial,M
765,34,college/grad student,M
766,32,scientist,M
767,31,college/grad student,F
768,28,sales/marketing,M
769,18,K-12 student,M
770,34,sales/marketing,F
771,32,college/grad student,M
772,27,self-employed,M
773,30,executive/managerial,M
774,29,scientist,M
775,40,writer,M
776,34,self-employed,F
777,26,sales/marketing,M
778,30,sales/marketing,F
779,33,scientist,M
780,26,college/grad student,F
781,26,college/grad student,M
782,30,scientist,M
783,34,self-employed,M
784,33,scientist,M
785,31,college/grad student,F
786,30,sales/marketing,M
787,43,sales/marketing,M
788,26,technician/engineer,M
789,21,K-12 student,F
790,31,executive/managerial,M
791,33,self-employed,M
792,19,sales/marketing,M
793,38,scientist,F
794,29,other or not specified,F
795,28,college/grad student,M
796,36,self-employed,M
797,27,artist,F
798,27,self-employed,M
799,27,other or not specified,F
800,23,programmer,M
801,32,college/grad student,M
802,25,sales/marketing,M
803,27,other or not specified,M
804,34,homemaker,M
805,32,college/grad student,M
806,28,executive/managerial,M
807,27,scientist,M
808,34,K-12 student,M
809,27,scientist,M
810,34,self-employed,F
811,26,college/grad student,M
812,29,sales/marketing,M
813,25,executive/managerial,M
814,25,college/grad student,M
815,34,college/grad student,M
816,34,executive/managerial,M
817,32,college/grad student,F
818,27,college/grad student,M
819,34,other or not specified,M
820,32,college/grad student,M
821,28,self-employed,M
822,32,scientist,M
823,32,executive/managerial,M
824,33,unemployed,M
825,34,executive/managerial,M
826,28,doctor/health care,F
827,28,scientist,M
828,23,scientist,M
829,32,self-employed,M
830,34,other or not specified,M
831,30,college/grad student,M
832,38,executive/managerial,M
833,30,college/grad student,M
834,25,executive/managerial,M
835,27,other or not specified,M
836,26,college/grad student,M
837,28,executive/managerial,M
838,26,scientist,M
839,25,college/grad student,M
840,29,self-employed,M
841,34,college/grad student,M
842,32,college/grad student,M
843,26,other or not specified,M
844,27,scientist,M
845,25,college/grad student,M
846,31,sales/marketing,M
847,26,sales/marketing,M
848,29,college/grad student,M
849,33,other or not specified,F
850,33,college/grad student,M
851,31,college/grad student,M
852,25,academic/educator,M
853,29,self-employed,M
854,27,executive/managerial,M
855,75,retired,M
856,23,sales/marketing,M
857,31,college/grad student,M
858,32,retired,F
859,27,executive/managerial,M
860,32,sales/marketing,M
861,21,customer service,M
862,30,executive/managerial,M
863,29,homemaker,M
864,50,executive/managerial,M
865,31,self-employed,M
866,16,K-12 student,M
867,30,other or not specified,M
868,34,clerical/admin,M
869,31,sales/marketing,M
870,32,self-employed,M
871,29,executive/managerial,M
872,31,artist,F
873,32,sales/marketing,M
874,33,other or not specified,M
875,26,college/grad student,M
876,20,other or not specified,M
877,29,other or not specified,M
878,34,scientist,F
879,27,executive/managerial,M
880,27,executive/managerial,M
881,20,technician/engineer,M
882,29,executive/managerial,M
883,31,executive/managerial,M
884,27,tradesman/craftsman,M
885,13,K-12 student,M
886,40,college/grad student,F
887,25,scientist,M
888,39,academic/educator,M
889,22,scientist,M
890,33,scientist,M
891,29,executive/managerial,M
892,29,sales/marketing,M
893,29,artist,F
894,33,other or not specified,M
895,38,retired,F
896,31,self-employed,M
897,26,clerical/admin,M
898,36,self-employed,F
899,27,college/grad student,M
900,29,sales/marketing,M
901,32,executive/managerial,M
902,21,K-12 student,M
903,40,writer,M
904,30,college/grad student,M
905,34,college/grad student,M
906,30,college/grad student,M
907,31,sales/marketing,M
908,34,college/grad student,M
909,27,executive/managerial,M
910,32,sales/marketing,M
911,25,executive/managerial,M
912,25,college/grad student,M
913,26,college/grad student,M
914,37,academic/educator,M
915,31,executive/managerial,M
916,24,sales/marketing,M
917,25,other or not specified,F
918,25,executive/managerial,M
919,27,executive/managerial,M
920,27,self-employed,M
921,33,other or not specified,M
922,25,college/grad student,M
923,30,scientist,M
924,34,scientist,M
925,27,sales/marketing,M
926,13,K-12 student,M
927,34,college/grad student,M
928,25,executive/managerial,M
929,26,sales/marketing,M
930,29,homemaker,M
931,32,college/grad student,M
932,33,sales/marketing,M
933,18,K-12 student,M
934,26,college/grad student,M
935,25,self-employed,M
936,33,sales/marketing,M
937,25,college/grad student,M
938,26,academic/educator,F
939,50,executive/managerial,M
940,39,self-employed,F
941,29,sales/marketing,M
942,26,executive/managerial,M
943,30,executive/managerial,M
944,37,customer service,M
945,30,college/grad student,M
946,26,executive/managerial,M
947,30,sales/marketing,M
948,29,sales/marketing,M
949,33,K-12 student,M
950,29,scientist,M
951,23,sales/marketing,M
952,31,doctor/health care,M
953,25,college/grad student,M
954,33,executive/managerial,M
955,33,sales/marketing,M
956,34,executive/managerial,M
957,27,other or not specified,F
958,29,executive/managerial,M
959,31,college/grad student,M
960,32,scientist,M
961,25,college/grad student,M
962,28,scientist,M
963,25,other or not specified,M
964,18,K-12 student,M
965,26,self-employed,M
966,31,executive/managerial,M
967,28,executive/managerial,M
968,30,college/grad student,M
969,36,sales/marketing,M
970,32,sales/marketing,M
971,27,clerical/admin,M
972,34,college/grad student,F
973,18,K-12 student,F
974,39,executive/managerial,M
975,32,self-employed,M
976,26,executive/managerial,M
977,31,college/grad student,M
978,11,sales/marketing,F
979,31,college/grad student,M
980,32,executive/managerial,M
981,29,executive/managerial,M
982,39,sales/marketing,M
983,27,college/grad student,M
984,27,sales/marketing,M
985,34,college/grad student,F
986,27,executive/managerial,M
987,25,sales/marketing,M
988,28,executive/managerial,M
989,21,college/grad student,M
990,27,scientist,M
991,31,other or not specified,M
992,52,clerical/admin,F
993,30,academic/educator,M
994,28,sales/marketing,F
995,30,K-12 student,M
996,33,executive/managerial,M
997,27,college/grad student,M
998,53,executive/managerial,F
999,26,college/grad student,M
1000,25,college/grad student,M
1001,28,artist,M
1002,30,college/grad student,M
1003,25,college/grad student,M
1004,34,executive/managerial,M
1005,31,executive/managerial,M
1006,37,college/grad student,M
1007,32,self-employed,M
1008,30,tradesman/craftsman,M
1009,44,programmer,M
1010,26,college/grad student,M
1011,26,sales/marketing,F
1012,32,executive/managerial,M
1013,26,retired,M
1014,25,retired,M
1015,21,sales/marketing,M
1016,29,scientist,F
1017,28,self-employed,M
1018,31,other or not specified,M
1019,29,self-employed,M
1020,33,scientist,M
1021,26,executive/managerial,M
1022,29,college/grad student,M
1023,34,scientist,M
1024,21,homemaker,M
1025,33,executive/managerial,M
1026,25,other or not specified,M
1027,38,other or not specified,F
1028,24,college/grad student,M
1029,34,executive/managerial,M
1030,31,sales/marketing,M
1031,18,K-12 student,M
1032,26,other or not specified,F
1033,31,other or not specified,F
1034,30,executive/managerial,M
1035,34,other or not specified,M
1036,33,college/grad student,M
1037,32,other or not specified,M
1038,27,executive/managerial,M
1039,87,retired,M
1040,31,executive/managerial,M
1041,34,executive/managerial,M
1042,41,other or not specified,M
1043,28,college/grad student,M
1044,25,college/grad student,M
1045,30,other or not specified,M
1046,26,academic/educator,M
1047,33,executive/managerial,M
1048,27,sales/marketing,M
1049,32,scientist,M
1050,8,K-12 student,F
1051,28,college/grad student,M
1052,32,sales/marketing,M
1053,27,academic/educator,M
1054,33,college/grad student,M
1055,29,college/grad student,M
1056,25,college/grad student,F
1057,22,college/grad student,M
1058,27,scientist,M
1059,37,executive/managerial,M
1060,32,college/grad student,F
1061,34,self-employed,M
1062,33,other or not specified,M
1063,26,scientist,M
1064,33,college/grad student,M
1065,22,college/grad student,M
1066,29,executive/managerial,M
1067,33,college/grad student,M
1068,22,sales/marketing,M
1069,28,executive/managerial,M
1070,28,executive/managerial,M
1071,25,college/grad student,M
1072,25,executive/managerial,F
1073,32,sales/marketing,M
1074,25,college/grad student,M
1075,28,executive/managerial,M
1076,28,college/grad student,M
1077,28,other or not specified,M
1078,28,sales/marketing,M
1079,32,college/grad student,M
1080,30,executive/managerial,M
1081,32,college/grad student,M
1082,27,executive/managerial,M
1083,34,other or not specified,M
1084,31,college/grad student,M
1085,18,sales/marketing,M
1086,31,executive/managerial,M
1087,27,college/grad student,M
1088,33,college/grad student,M
1089,33,college/grad student,M
1090,32,executive/managerial,M
1091,30,other or not specified,F
1092,32,technician/engineer,M
1093,26,sales/marketing,M
1094,27,programmer,M
1095,32,sales/marketing,F
1096,30,college/grad student,M
1097,25,other or not specified,M
1098,27,executive/managerial,M
1099,34,college/grad student,F
1100,28,college/grad student,M
1101,32,college/grad student,M
1102,34,sales/marketing,M
1103,28,college/grad student,F
1104,27,academic/educator,F
1105,28,college/grad student,M
1106,32,college/grad student,M
1107,34,sales/marketing,M
1108,23,scientist,M
1109,28,executive/managerial,M
1110,26,programmer,M
1111,34,other or not specified,M
1112,27,college/grad student,M
1113,29,sales/marketing,F
1114,26,college/grad student,M
1115,26,college/grad student,M
1116,26,homemaker,M
1117,28,self-employed,M
1118,55,scientist,M
1119,34,scientist,M
1120,33,programmer,M
1121,60,self-employed,F
1122,26,self-employed,M
1123,19,sales/marketing,F
1124,26,other or not specified,M
1125,26,college/grad student,M
1126,26,executive/managerial,M
1127,29,other or not specified,F
1128,31,college/grad student,F
1129,25,executive/managerial,M
1130,25,executive/managerial,M
1131,28,college/grad student,M
1132,30,other or not specified,F
1133,25,sales/marketing,M
1134,27,programmer,M
1135,26,sales/marketing,M
1136,26,executive/managerial,M
1137,29,academic/educator,M
1138,29,executive/managerial,M
1139,30,college/grad student,M
1140,32,homemaker,F
1141,29,self-employed,M
1142,33,executive/managerial,M
1143,26,college/grad student,M
1144,27,college/grad student,M
1145,34,writer,M
1146,28,executive/managerial,M
1147,29,scientist,M
1148,32,college/grad student,M
1149,34,college/grad student,M
1150,29,scientist,M
1151,32,other or not specified,M
1152,27,other or not specified,M
1153,26,doctor/health care,M
1154,25,sales/marketing,M
1155,32,sales/marketing,F
1156,26,college/grad student,M
1157,26,programmer,F
